Options:
Model:                           Discrete: Independent
Tree File Name:                  Bayestraits/run1/Independent/aut_sl.bttrees
Data File Name:                  Bayestraits/run1/Independent/aut_sl.btdata
Log File Name:                   Bayestraits/run1/Independent/aut_sl.btdata.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2015151985
Precision:                       64 bits
Cores:                           16
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   Bayestraits/run1/Independent/aut_sl.btdata.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      1
     Taxa:                       67
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
183000	-73.170174	1	22.653387	5.683550	0.292149	0.176549	0.450365	0.049635	0.450365	0.049635	
184000	-80.530541	1	4.460631	2.153668	12.702268	13.155095	0.250000	0.250000	0.250000	0.250000	
185000	-72.751215	1	23.895955	11.010305	0.205864	0.294193	0.194747	0.305253	0.194747	0.305253	
186000	-74.715258	1	11.569751	4.309424	0.473737	0.487841	0.241488	0.258512	0.241488	0.258512	
187000	-73.289140	1	33.520353	6.807053	0.159168	0.143728	0.457375	0.042625	0.457375	0.042625	
188000	-80.088806	1	18.316998	3.997114	4.424509	3.288616	0.250000	0.250000	0.250000	0.250000	
189000	-73.157530	1	10.787149	3.318992	0.077104	0.156850	0.128655	0.371345	0.128655	0.371345	
190000	-69.809400	1	0.345889	0.265066	0.122097	0.245237	0.059478	0.260725	0.126274	0.553523	
191000	-72.813542	1	59.123164	15.589658	0.241598	0.302650	0.230314	0.269686	0.230314	0.269686	
192000	-71.913950	1	11.632148	4.074428	0.232886	0.158347	0.462192	0.037808	0.462192	0.037808	
193000	-75.484762	1	0.123384	0.124182	5.000679	3.571864	0.059478	0.059478	0.440522	0.440522	
194000	-79.057430	1	18.352570	7.166459	5.706979	4.006735	0.250000	0.250000	0.250000	0.250000	
195000	-78.963740	1	4.046437	1.212912	7.613932	5.637959	0.250000	0.250000	0.250000	0.250000	
196000	-72.650773	1	12.139937	4.074754	0.195911	0.329418	0.143553	0.356447	0.143553	0.356447	
197000	-75.286529	1	6.079606	1.719306	0.539534	0.515292	0.246155	0.253845	0.246155	0.253845	
198000	-69.859588	1	0.589444	0.276721	0.107790	0.262041	0.047709	0.431246	0.051901	0.469143	
199000	-74.262237	1	9.636432	2.626582	0.135837	0.386022	0.045292	0.454708	0.045292	0.454708	
200000	-72.946661	1	26.712750	12.923718	0.231905	0.291073	0.234224	0.265776	0.234224	0.265776	
201000	-81.687038	1	7.905420	1.403671	6.881420	4.117741	0.250000	0.250000	0.250000	0.250000	
202000	-70.830361	1	1.476171	0.448539	0.151681	0.109399	0.488150	0.011686	0.488471	0.011694	
203000	-71.380654	1	2.080611	0.689822	0.140738	0.236862	0.155913	0.344041	0.155942	0.344104	
204000	-71.622322	1	5.054357	1.889156	0.175676	0.141965	0.466753	0.033247	0.466753	0.033247	
205000	-80.324193	1	14.351387	3.739789	7.052397	7.193465	0.250000	0.250000	0.250000	0.250000	
206000	-69.054545	1	0.349538	0.187362	0.071447	0.195696	0.028665	0.427488	0.034176	0.509671	
207000	-68.378366	1	0.263211	0.166314	0.141332	0.112369	0.358719	0.011110	0.611241	0.018931	
208000	-77.843957	1	3.036500	0.983454	1.695894	1.291745	0.249983	0.250016	0.249984	0.250017	
209000	-72.021076	1	0.367301	0.038321	0.224900	0.048904	0.996287	0.000977	0.002733	0.000003	
210000	-69.986452	1	0.285999	0.243577	0.033358	0.190065	0.001681	0.256210	0.004838	0.737270	
211000	-69.544661	1	0.623105	0.285915	0.160949	0.163841	0.404541	0.077676	0.434378	0.083405	
212000	-72.526074	1	3.634707	1.524218	0.292414	0.274553	0.309732	0.190268	0.309732	0.190268	
213000	-72.927157	1	10.687998	4.135124	0.008470	0.277611	0.000150	0.499850	0.000150	0.499850	
214000	-72.215954	1	13.784293	4.189083	0.093269	0.232957	0.044207	0.455793	0.044207	0.455793	
215000	-72.553749	1	12.294028	3.770097	0.078492	0.283182	0.014983	0.485017	0.014983	0.485017	
216000	-73.330642	1	24.431049	10.737424	0.284211	0.119372	0.489021	0.010979	0.489021	0.010979	
217000	-72.223436	1	12.523711	4.554693	0.102922	0.266244	0.040716	0.459284	0.040716	0.459284	
218000	-71.895115	1	6.711625	2.530086	0.158933	0.220751	0.246103	0.253897	0.246103	0.253897	
219000	-72.751335	1	9.251742	4.650540	0.193975	0.240763	0.269324	0.230676	0.269324	0.230676	
220000	-70.865216	1	0.627771	0.190467	0.300235	0.126010	0.570642	0.015831	0.402364	0.011163	
221000	-75.024305	1	1.840820	0.777459	0.593168	0.539868	0.247912	0.251971	0.248028	0.252089	
222000	-75.894453	1	20.041307	5.239280	0.264572	0.040005	0.499720	0.000280	0.499720	0.000280	
223000	-76.122898	1	0.288570	0.056927	14.757540	11.801061	0.493649	0.493649	0.006351	0.006351	
224000	-82.031743	1	10.537111	2.628629	23.485669	9.903271	0.250000	0.250000	0.250000	0.250000	
225000	-71.529054	1	3.762540	1.363882	0.192762	0.144242	0.468906	0.031094	0.468906	0.031094	
226000	-74.184778	1	21.767578	4.022938	0.120908	0.243784	0.091907	0.408093	0.091907	0.408093	
227000	-75.678429	1	6.306343	3.985376	0.316419	0.391686	0.218832	0.281168	0.218832	0.281168	
