Options:
Model:                           Discrete: Independent
Tree File Name:                  Bayestraits/run2/Independent/aut_dom.bttrees
Data File Name:                  Bayestraits/run2/Independent/aut_dom.btdata
Log File Name:                   Bayestraits/run2/Independent/aut_dom.btdata.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            4061972766
Precision:                       64 bits
Cores:                           16
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   Bayestraits/run2/Independent/aut_dom.btdata.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      1
     Taxa:                       67
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
172000	-82.981194	1	2.077617	5.451682	0.486055	0.513573	0.239574	0.260426	0.239574	0.260426	
173000	-79.671434	1	1.335326	2.354172	0.077867	0.290064	0.014059	0.485935	0.014059	0.485947	
174000	-81.742279	1	3.370038	10.407706	0.148801	0.323205	0.077931	0.422069	0.077931	0.422069	
175000	-85.085837	1	7.263897	14.072432	1.323815	0.895409	0.249927	0.250073	0.249927	0.250073	
176000	-79.102417	1	5.948241	12.889432	0.190700	0.138739	0.473732	0.026268	0.473732	0.026268	
177000	-81.444250	1	12.582383	17.081212	0.093670	0.066731	0.497485	0.002515	0.497485	0.002515	
178000	-79.468975	1	4.123184	8.909943	0.253284	0.197509	0.414784	0.085216	0.414784	0.085216	
179000	-87.052963	1	3.957242	10.433780	4.504815	3.094913	0.250000	0.250000	0.250000	0.250000	
180000	-79.311262	1	4.316231	8.857498	0.235257	0.143745	0.475304	0.024696	0.475304	0.024696	
181000	-80.011470	1	0.281352	0.733644	0.157471	0.266983	0.120842	0.298047	0.167640	0.413471	
182000	-80.942572	1	6.419867	11.359194	0.373553	0.206726	0.420752	0.079248	0.420752	0.079248	
183000	-79.260406	1	8.601251	14.449329	0.186287	0.240977	0.255051	0.244949	0.255051	0.244949	
184000	-82.156297	1	7.406947	9.335588	0.127563	0.371519	0.039894	0.460106	0.039894	0.460106	
185000	-79.185868	1	13.365074	23.342244	0.139371	0.118463	0.479689	0.020311	0.479689	0.020311	
186000	-79.568461	1	3.331536	7.305172	0.189688	0.278604	0.190299	0.309701	0.190299	0.309701	
187000	-80.396671	1	3.201033	8.807233	0.198941	0.269680	0.220504	0.279496	0.220504	0.279496	
188000	-80.503873	1	16.566249	23.095401	0.263493	0.319512	0.233141	0.266859	0.233141	0.266859	
189000	-79.093774	1	7.389711	14.466336	0.185664	0.215093	0.318357	0.181643	0.318357	0.181643	
190000	-80.454628	1	8.370340	10.199428	0.212819	0.152679	0.464471	0.035529	0.464471	0.035529	
191000	-87.324195	1	6.953729	16.062928	21.285624	11.583028	0.250000	0.250000	0.250000	0.250000	
192000	-79.582500	1	6.077841	9.722795	0.262457	0.213441	0.392101	0.107899	0.392101	0.107899	
193000	-85.969235	1	17.195940	23.330592	0.862044	0.423431	0.264547	0.235453	0.264547	0.235453	
194000	-82.477462	1	2.054728	2.958544	0.449481	0.220413	0.403961	0.096039	0.403961	0.096039	
195000	-79.777952	1	2.829812	5.549828	0.014017	0.188133	0.000554	0.499446	0.000554	0.499446	
196000	-83.448729	1	11.513881	17.461578	0.637194	0.604507	0.246267	0.253733	0.246267	0.253733	
197000	-80.078816	1	5.183005	7.553273	0.272296	0.278262	0.291364	0.208636	0.291364	0.208636	
198000	-79.994187	1	6.442955	17.122219	0.221077	0.147619	0.470702	0.029298	0.470702	0.029298	
199000	-79.635126	1	5.877123	10.398113	0.279763	0.189444	0.433429	0.066571	0.433429	0.066571	
200000	-81.545698	1	15.007081	19.543168	0.374929	0.280365	0.331873	0.168127	0.331873	0.168127	
201000	-78.597385	1	0.292013	0.516618	0.188968	0.136671	0.444707	0.023183	0.505745	0.026365	
202000	-79.527104	1	4.144030	9.730464	0.140417	0.109215	0.486843	0.013157	0.486843	0.013157	
203000	-79.671512	1	0.897080	1.417776	0.275104	0.316718	0.245773	0.253905	0.246090	0.254233	
204000	-79.410113	1	14.972354	33.166767	0.142692	0.185102	0.318795	0.181205	0.318795	0.181205	
205000	-79.860179	1	2.192886	5.647176	0.210375	0.230065	0.317934	0.182066	0.317934	0.182066	
206000	-79.635070	1	0.655628	0.981934	0.257057	0.333011	0.213615	0.285190	0.214638	0.286557	
207000	-80.589098	1	3.529879	6.794692	0.045621	0.155567	0.013773	0.486227	0.013773	0.486227	
208000	-79.505138	1	2.110813	4.140869	0.085705	0.270156	0.021502	0.478498	0.021502	0.478498	
209000	-86.453637	1	5.030642	10.950232	16.018954	12.345242	0.250000	0.250000	0.250000	0.250000	
210000	-87.170920	1	2.262349	5.818461	6.987234	4.362733	0.250000	0.250000	0.250000	0.250000	
211000	-79.431634	1	3.064561	5.261835	0.162601	0.074398	0.497869	0.002131	0.497869	0.002131	
212000	-78.991977	1	3.715477	7.289278	0.203842	0.171443	0.436389	0.063611	0.436389	0.063611	
213000	-89.059926	1	3.898128	8.334599	18.936773	24.694974	0.250000	0.250000	0.250000	0.250000	
214000	-86.351130	1	16.119895	31.322250	7.018144	5.738854	0.250000	0.250000	0.250000	0.250000	
215000	-79.642964	1	1.454047	2.019806	0.168159	0.257676	0.182931	0.317060	0.182938	0.317071	
216000	-79.738044	1	1.889611	2.554941	0.200061	0.235682	0.290730	0.209269	0.290731	0.209269	
217000	-87.820781	1	2.856955	4.230660	9.924927	4.926609	0.250000	0.250000	0.250000	0.250000	
218000	-86.329491	1	4.890758	9.414207	18.028809	12.189269	0.250000	0.250000	0.250000	0.250000	
219000	-86.919970	1	4.599995	8.077851	2.155522	2.342730	0.250000	0.250000	0.250000	0.250000	
220000	-86.896170	1	0.498859	0.751356	29.064095	14.670932	0.249329	0.249329	0.250671	0.250671	
221000	-79.878834	1	5.708412	9.165887	0.119372	0.295195	0.050128	0.449872	0.050128	0.449872	
222000	-80.153137	1	5.760142	14.206817	0.159831	0.295876	0.114777	0.385223	0.114777	0.385223	
223000	-79.941039	1	13.149541	27.562729	0.147802	0.313988	0.081427	0.418573	0.081427	0.418573	
224000	-79.286481	1	2.153874	4.006666	0.258554	0.201920	0.409619	0.090381	0.409619	0.090381	
225000	-86.973933	1	3.250255	4.803072	19.419557	17.574161	0.250000	0.250000	0.250000	0.250000	
226000	-79.782167	1	7.682441	12.601643	0.149129	0.298646	0.093759	0.406241	0.093759	0.406241	
227000	-81.908729	1	13.448119	21.553821	0.406286	0.478331	0.228077	0.271923	0.228077	0.271923	
228000	-79.572030	1	15.945013	30.279072	0.080611	0.199996	0.046367	0.453633	0.046367	0.453633	
229000	-79.451942	1	24.506536	43.884899	0.094516	0.211665	0.067300	0.432700	0.067300	0.432700	
