Options:
Model:                           Discrete: Independent
Tree File Name:                  Bayestraits/Independent/afr_sl.bttrees
Data File Name:                  Bayestraits/Independent/afr_sl.btdata
Log File Name:                   Bayestraits/Independent/afr_sl.btdata.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1315216021
Precision:                       64 bits
Cores:                           16
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   Bayestraits/Independent/afr_sl.btdata.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      1
     Taxa:                       43
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
180000	-48.259491	1	1.695758	8.172766	20.712586	17.160071	0.250008	0.250008	0.249992	0.249992	
181000	-48.543072	1	0.185909	0.687088	2.901792	7.274719	0.207750	0.207739	0.292263	0.292248	
182000	-46.762810	1	2.161872	5.726175	3.872709	6.652239	0.250070	0.250059	0.249941	0.249930	
183000	-46.429563	1	4.336814	13.996709	3.372933	4.330682	0.250100	0.249900	0.250100	0.249900	
184000	-47.069347	1	7.859661	16.310201	6.965103	10.095588	0.250000	0.250000	0.250000	0.250000	
185000	-47.058224	1	1.643339	4.980983	15.601405	30.921111	0.250220	0.250220	0.249780	0.249780	
186000	-47.139827	1	1.511763	7.550563	16.871782	19.096811	0.250017	0.250017	0.249983	0.249983	
187000	-46.691873	1	12.585920	32.785912	6.702082	10.967996	0.250000	0.250000	0.250000	0.250000	
188000	-47.547076	1	1.353438	6.619687	6.912879	13.816017	0.250052	0.250052	0.249948	0.249948	
189000	-47.291823	1	1.849175	7.405482	3.473737	3.299680	0.250308	0.249721	0.250279	0.249692	
190000	-48.435106	1	8.434389	49.723175	19.217707	17.050976	0.250000	0.250000	0.250000	0.250000	
191000	-47.614553	1	12.608541	29.099197	3.447482	7.185282	0.250004	0.249996	0.250004	0.249996	
192000	-46.528887	1	1.175036	4.603738	3.832896	4.952168	0.250515	0.250447	0.249552	0.249485	
193000	-47.834123	1	5.248686	8.952451	6.611959	8.532420	0.250000	0.250000	0.250000	0.250000	
194000	-48.002764	1	21.074279	38.399564	1.874212	1.925646	0.255520	0.244480	0.255520	0.244480	
195000	-46.689801	1	2.190518	6.024606	20.724305	23.635751	0.250046	0.250046	0.249954	0.249954	
196000	-46.898984	1	7.569360	18.205755	4.504147	7.654406	0.250001	0.249999	0.250001	0.249999	
197000	-47.979068	1	9.354777	26.675800	15.035982	12.220500	0.250000	0.250000	0.250000	0.250000	
198000	-50.233586	1	6.351043	7.421172	23.525438	28.126825	0.250000	0.250000	0.250000	0.250000	
199000	-46.945511	1	1.671810	4.862753	11.885869	12.106697	0.250243	0.250243	0.249757	0.249757	
200000	-46.525343	1	1.309799	4.636729	4.634332	7.422854	0.250418	0.250416	0.249584	0.249582	
201000	-47.464771	1	4.321825	26.278118	6.890310	9.461138	0.250000	0.250000	0.250000	0.250000	
202000	-47.537056	1	1.305238	2.441738	1.789264	2.147556	0.258993	0.249912	0.249929	0.241166	
203000	-47.255661	1	4.573150	21.496048	0.774069	0.807264	0.301188	0.198812	0.301188	0.198812	
204000	-47.135371	1	3.589368	9.645154	16.976183	16.732104	0.250000	0.250000	0.250000	0.250000	
205000	-49.630006	1	5.607288	10.921339	5.205010	14.420696	0.250000	0.250000	0.250000	0.250000	
206000	-48.712654	1	6.121273	12.926546	16.011729	39.864795	0.250000	0.250000	0.250000	0.250000	
207000	-46.945135	1	5.599321	15.525346	6.454331	6.657735	0.250000	0.250000	0.250000	0.250000	
208000	-47.145447	1	2.485150	7.796767	16.550273	33.688483	0.250006	0.250006	0.249994	0.249994	
209000	-46.497342	1	2.334339	9.101593	10.001853	14.184595	0.250002	0.250002	0.249998	0.249998	
210000	-47.875107	1	5.366562	17.590577	3.387604	8.092730	0.250002	0.249998	0.250002	0.249998	
211000	-47.206352	1	8.717262	18.669507	7.548199	13.001603	0.250000	0.250000	0.250000	0.250000	
212000	-48.119984	1	2.282848	16.177260	9.898373	16.002721	0.250000	0.250000	0.250000	0.250000	
213000	-46.647165	1	2.071747	7.367131	0.954676	1.614265	0.264576	0.235449	0.264549	0.235425	
214000	-51.043439	1	0.477042	6.306897	10.452564	16.203496	0.250150	0.250150	0.249850	0.249850	
215000	-48.032959	1	3.292888	20.662116	6.879587	7.102477	0.250000	0.250000	0.250000	0.250000	
216000	-48.119983	1	1.960383	7.764448	4.683337	11.459075	0.250009	0.250009	0.249991	0.249991	
217000	-46.786712	1	1.206300	5.602082	17.066729	25.380998	0.250167	0.250167	0.249833	0.249833	
218000	-46.516341	1	4.371174	17.178244	8.512184	12.421509	0.250000	0.250000	0.250000	0.250000	
219000	-47.764528	1	1.325202	2.922651	28.126204	26.045571	0.252561	0.252561	0.247439	0.247439	
220000	-47.312177	1	3.758657	17.468200	1.172938	1.179603	0.273889	0.226111	0.273889	0.226111	
221000	-47.870450	1	8.170632	21.608906	4.036273	9.387541	0.250000	0.250000	0.250000	0.250000	
222000	-46.736204	1	4.106364	14.992429	1.327251	2.338949	0.254936	0.245064	0.254936	0.245064	
223000	-47.266557	1	8.723074	22.830682	9.035973	18.277909	0.250000	0.250000	0.250000	0.250000	
224000	-46.757847	1	1.470429	6.199459	1.360076	1.587903	0.262199	0.237945	0.262048	0.237808	
225000	-48.834890	1	5.275009	14.764316	5.797998	4.134285	0.250015	0.249985	0.250015	0.249985	
226000	-46.602242	1	7.381113	24.102509	2.968017	3.384831	0.250409	0.249591	0.250409	0.249591	
227000	-46.966102	1	2.403914	10.821923	1.243073	2.155763	0.256461	0.243540	0.256460	0.243539	
228000	-47.189385	1	0.358770	0.851641	6.634327	11.678667	0.276694	0.276694	0.223306	0.223306	
229000	-48.865746	1	0.902471	5.261887	4.882117	11.779734	0.250305	0.250305	0.249695	0.249695	
230000	-48.523590	1	7.611166	27.880283	2.823022	7.490052	0.250006	0.249994	0.250006	0.249994	
231000	-47.039125	1	2.143887	10.967818	1.329605	2.048437	0.256939	0.243061	0.256939	0.243061	
232000	-48.951344	1	2.140014	15.907444	24.429609	23.211318	0.250000	0.250000	0.250000	0.250000	
233000	-48.652303	1	4.044538	33.136306	7.883839	9.807169	0.250000	0.250000	0.250000	0.250000	
234000	-47.476110	1	3.759344	15.805670	4.003398	8.441311	0.250001	0.249999	0.250001	0.249999	
235000	-47.132740	1	4.636944	12.184838	9.677478	9.622226	0.250000	0.250000	0.250000	0.250000	
236000	-47.412273	1	4.834676	21.240329	7.189918	14.664278	0.250000	0.250000	0.250000	0.250000	
237000	-46.563561	1	5.289929	21.523942	1.118031	1.509206	0.265462	0.234538	0.265462	0.234538	
238000	-48.188141	1	2.690297	4.574013	2.560418	2.732472	0.251357	0.248921	0.251077	0.248645	
239000	-46.536020	1	2.593495	8.207139	5.952452	7.037015	0.250004	0.250003	0.249997	0.249996	
240000	-46.841188	1	5.758350	13.709587	4.914398	5.826634	0.250005	0.249995	0.250005	0.249995	
241000	-46.984608	1	0.880486	4.515213	15.911922	22.422838	0.250666	0.250666	0.249334	0.249334	
242000	-47.324695	1	1.451117	3.312754	2.739447	2.781354	0.252520	0.250521	0.249467	0.247493	
243000	-47.462390	1	5.991755	12.859821	10.184465	19.338681	0.250000	0.250000	0.250000	0.250000	
244000	-47.334953	1	6.988557	17.178976	11.978004	11.606492	0.250000	0.250000	0.250000	0.250000	
